# Ag,Au,Cu,Pd,Pt,active sites
0.1332,0.3381,0.2603,0.2129,0.0555,0.2347
0.0653,0.0243,0.3625,0.2516,0.2963,0.3059
0.0063,0.0000,-0.0000,0.0000,0.9937,0.0149
0.0000,0.0000,0.7250,0.2062,0.0688,0.1683
0.0562,-0.0000,0.1938,0.5500,0.2000,0.1776
0.3188,0.0063,0.3250,0.0875,0.2625,0.3197
0.1250,0.1500,0.3688,0.0000,0.3562,0.3234
0.2625,0.1688,0.1000,0.0938,0.3750,0.2877
0.1750,-0.0000,0.3813,-0.0000,0.4438,0.3440
0.0000,0.9937,-0.0000,-0.0000,0.0063,0.0064
0.9938,0.0063,0.0000,-0.0000,0.0000,0.0000
-0.0000,-0.0000,0.5563,0.0000,0.4438,0.3470
0.5062,0.4938,0.0000,-0.0000,0.0000,0.0000
-0.0000,0.3500,-0.0000,0.3188,0.3313,0.2916
0.2187,-0.0000,-0.0000,0.3375,0.4438,0.3166
0.5062,-0.0000,-0.0000,0.4938,0.0000,0.0738
0.1437,0.0000,0.5625,0.0000,0.2938,0.3135
0.0063,0.0000,0.3250,0.1563,0.5125,0.3248
0.5062,-0.0000,0.0000,0.0000,0.4938,0.2299
-0.0000,0.4813,0.0000,0.5188,0.0000,0.0607
-0.0000,0.1938,0.3750,0.0625,0.3688,0.3373
0.0000,0.4562,0.5437,-0.0000,0.0000,0.0416
-0.0000,0.5063,0.0000,0.0000,0.4938,0.2133
-0.0000,0.1437,-0.0000,0.3125,0.5438,0.2714
0.5062,-0.0000,0.4938,-0.0000,0.0000,0.0703
0.1375,0.0125,0.3250,0.1188,0.4063,0.3380
0.1250,0.0312,0.3312,0.1125,0.4000,0.3347
0.0063,0.0000,0.5187,-0.0000,0.4750,0.3453
-0.0000,0.4313,0.1875,0.1063,0.2750,0.3117
-0.0000,-0.0000,0.0000,0.5312,0.4688,0.3308
0.0000,0.0000,0.9937,-0.0000,0.0063,0.0207
0.0000,0.0000,-0.0000,0.9937,0.0063,0.0003
0.5062,-0.0000,-0.0000,0.2063,0.2875,0.2758
0.4562,0.0000,0.2250,0.0000,0.3188,0.3062
0.0000,0.2250,0.2125,0.2562,0.3063,0.3122
0.0000,0.0000,0.5000,0.1063,0.3938,0.3433
-0.0000,-0.0000,0.0000,0.3937,0.6063,0.2453
0.1625,0.1062,-0.0000,0.4250,0.3063,0.2750
0.0000,0.2125,0.2688,-0.0000,0.5187,0.3005
-0.0000,0.6312,-0.0000,0.1875,0.1813,0.2318
-0.0000,-0.0000,0.4313,0.0000,0.5688,0.3247
0.0000,-0.0000,0.0000,0.6687,0.3313,0.2820
0.3062,0.0000,0.1562,0.1750,0.3625,0.3168
0.0812,0.0000,0.4625,0.0375,0.4188,0.3361
0.0000,0.0000,0.4938,0.0750,0.4312,0.3396
0.1562,0.0000,0.4250,-0.0000,0.4188,0.3362
0.0000,0.0813,0.4875,0.0000,0.4312,0.3386
-0.0000,-0.0000,0.4938,0.0687,0.4375,0.3463
-0.0000,-0.0000,0.5563,0.0000,0.4438,0.3352
-0.0000,0.0750,0.4250,0.0812,0.4188,0.3422
0.1500,0.4938,0.1313,0.0000,0.2250,0.2445
0.2562,0.0000,0.3625,-0.0000,0.3813,0.3366
-0.0000,-0.0000,0.1563,0.4062,0.4375,0.3279
0.0000,0.6250,0.2063,0.1688,0.0000,0.1924
0.2187,0.5438,-0.0000,0.2375,0.0000,0.1256
0.1187,0.0000,0.0000,0.4875,0.3938,0.3112
0.0000,0.0000,0.4625,0.1063,0.4312,0.3464
0.0000,0.0000,0.4688,0.0937,0.4375,0.3461
0.2437,-0.0000,0.2000,0.0000,0.5563,0.2922
-0.0000,0.1062,0.0000,0.4937,0.4000,0.3118
0.3375,0.2188,0.2875,0.0000,0.1563,0.2646
0.0000,-0.0000,0.6687,0.0000,0.3313,0.3115
0.6312,-0.0000,0.1688,0.2000,0.0000,0.1931
0.5938,0.1875,-0.0000,0.2188,0.0000,0.1167
-0.0000,0.0688,0.4188,0.1000,0.4125,0.3455
0.3125,-0.0000,0.3938,0.2938,0.0000,0.1557
0.0000,0.3437,0.3312,-0.0000,0.3250,0.3267
-0.0000,0.1188,0.4875,-0.0000,0.3938,0.3380
-0.0000,0.6125,0.1813,-0.0000,0.2063,0.2609
-0.0000,-0.0000,0.3938,0.2063,0.4000,0.3357
-0.0000,-0.0000,0.5062,0.4938,0.0000,0.0527
0.0000,0.0000,0.4937,0.0812,0.4250,0.3461
0.7438,0.0000,-0.0000,0.0000,0.2562,0.1870
0.0812,0.0000,0.4750,-0.0000,0.4438,0.3438
0.0000,0.0000,0.4938,0.0750,0.4312,0.3419
0.0000,0.0000,0.4938,0.0750,0.4312,0.3366
0.0812,0.0000,0.4750,-0.0000,0.4438,0.3434
-0.0000,0.0813,0.4250,0.0875,0.4063,0.3369
0.0812,0.0000,0.4750,-0.0000,0.4438,0.3416
0.0000,0.0000,0.4938,0.0687,0.4375,0.3426
0.2187,0.5125,0.2687,-0.0000,0.0000,0.0957
0.4938,0.2125,0.0000,-0.0000,0.2938,0.1871
0.1625,0.1937,-0.0000,-0.0000,0.6438,0.1868
0.0000,0.1812,0.4500,0.1250,0.2437,0.3285
-0.0000,0.1500,0.5437,-0.0000,0.3063,0.3289
0.0000,0.0750,0.4750,0.0687,0.3813,0.3416
0.7562,-0.0000,-0.0000,0.2438,0.0000,0.1223
0.0750,0.0000,0.4562,0.0625,0.4063,0.3464
0.0750,0.0000,0.4562,0.0562,0.4125,0.3386
0.0000,0.0687,0.4750,0.0750,0.3813,0.3338
0.0812,0.0000,0.4750,-0.0000,0.4438,0.3400
0.0000,0.0000,0.4937,0.0812,0.4250,0.3441
0.0000,0.0000,0.5000,0.0687,0.4312,0.3411
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3449
0.0000,0.2687,0.4375,0.2938,0.0000,0.1208
-0.0000,0.2313,0.3625,0.0875,0.3188,0.3276
-0.0000,-0.0000,0.5000,0.0812,0.4188,0.3350
-0.0000,0.0812,0.5000,-0.0000,0.4188,0.3401
0.0812,0.0000,0.4750,-0.0000,0.4438,0.3372
0.0000,0.0562,0.4875,0.0563,0.4000,0.3487
0.0000,0.0562,0.4875,0.0562,0.4000,0.3318
0.0000,0.0000,0.5000,0.0687,0.4312,0.3459
0.0000,0.0000,0.5000,0.0687,0.4312,0.3452
0.0000,0.0000,0.5000,0.0687,0.4312,0.3449
0.0000,0.0000,0.5000,0.0687,0.4312,0.3439
0.0000,0.0000,0.5000,0.0687,0.4312,0.3403
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3448
-0.0000,-0.0000,0.5312,-0.0000,0.4688,0.3415
0.0000,0.0000,0.4938,0.0687,0.4375,0.3455
0.0000,0.0000,0.4938,0.0687,0.4375,0.3453
0.0000,0.0000,0.4938,0.0687,0.4375,0.3390
-0.0000,-0.0000,0.5000,0.0562,0.4438,0.3467
