Ag,Au,Cu,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000
0.95,0.05,0.00,0.000000,0.000000
0.95,0.00,0.05,0.034600,0.041900
0.90,0.10,0.00,0.000000,0.000000
0.90,0.05,0.05,0.035500,0.039300
0.90,0.00,0.10,0.071300,0.079300
0.85,0.15,0.00,0.000000,0.000000
0.85,0.10,0.05,0.034700,0.040300
0.85,0.05,0.10,0.072000,0.080400
0.85,0.00,0.15,0.104100,0.115400
0.80,0.20,0.00,0.000000,0.000000
0.80,0.15,0.05,0.035900,0.038900
0.80,0.10,0.10,0.069100,0.081200
0.80,0.05,0.15,0.107300,0.113700
0.80,0.00,0.20,0.133100,0.139000
0.75,0.25,0.00,0.000000,0.000000
0.75,0.20,0.05,0.033100,0.043400
0.75,0.15,0.10,0.071700,0.077200
0.75,0.10,0.15,0.105800,0.114100
0.75,0.05,0.20,0.133100,0.143100
0.75,0.00,0.25,0.160300,0.172100
0.70,0.30,0.00,0.000000,0.000000
0.70,0.25,0.05,0.035100,0.039200
0.70,0.20,0.10,0.069300,0.080400
0.70,0.15,0.15,0.109800,0.116900
0.70,0.10,0.20,0.130000,0.141000
0.70,0.05,0.25,0.158600,0.174800
0.70,0.00,0.30,0.189600,0.189200
0.65,0.35,0.00,0.000000,0.000000
0.65,0.30,0.05,0.038900,0.040300
0.65,0.25,0.10,0.073500,0.076400
0.65,0.20,0.15,0.107100,0.117600
0.65,0.15,0.20,0.144100,0.142700
0.65,0.10,0.25,0.164300,0.169900
0.65,0.05,0.30,0.185300,0.188700
0.65,0.00,0.35,0.211700,0.204300
0.60,0.40,0.00,0.000000,0.000000
0.60,0.35,0.05,0.034400,0.038100
0.60,0.30,0.10,0.070200,0.076900
0.60,0.25,0.15,0.101300,0.110600
0.60,0.20,0.20,0.134900,0.144300
0.60,0.15,0.25,0.162400,0.168000
0.60,0.10,0.30,0.187400,0.189900
0.60,0.05,0.35,0.214000,0.206300
0.60,0.00,0.40,0.226100,0.218300
0.55,0.45,0.00,0.000000,0.000000
