Ag,Au,Cu,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000,0.000000
0.95,0.05,0.00,0.000000,0.000000,0.000000
0.95,0.00,0.05,0.023100,0.036300,0.047500
0.90,0.10,0.00,0.000000,0.000000,0.000000
0.90,0.05,0.05,0.021500,0.034000,0.046500
0.90,0.00,0.10,0.043500,0.065200,0.079600
0.85,0.15,0.00,0.000000,0.000000,0.000000
0.85,0.10,0.05,0.023400,0.035700,0.041100
0.85,0.05,0.10,0.047600,0.069100,0.077600
0.85,0.00,0.15,0.069900,0.103900,0.114800
0.80,0.20,0.00,0.000000,0.000000,0.000000
0.80,0.15,0.05,0.026100,0.036400,0.045900
0.80,0.10,0.10,0.046400,0.068300,0.079400
0.80,0.05,0.15,0.059900,0.102300,0.115900
0.80,0.00,0.20,0.076700,0.118000,0.142600
0.75,0.25,0.00,0.000000,0.000000,0.000000
0.75,0.20,0.05,0.021100,0.036100,0.046300
0.75,0.15,0.10,0.046200,0.067500,0.084400
0.75,0.10,0.15,0.062200,0.092100,0.118300
0.75,0.05,0.20,0.077000,0.119300,0.132600
0.75,0.00,0.25,0.093800,0.141300,0.163900
0.70,0.30,0.00,0.000000,0.000000,0.000000
0.70,0.25,0.05,0.024700,0.037300,0.042200
0.70,0.20,0.10,0.042900,0.069100,0.078000
0.70,0.15,0.15,0.068400,0.100400,0.111700
0.70,0.10,0.20,0.077500,0.110300,0.144400
0.70,0.05,0.25,0.092100,0.128200,0.165800
0.70,0.00,0.30,0.088500,0.141600,0.178200
0.65,0.35,0.00,0.000000,0.000000,0.000000
0.65,0.30,0.05,0.022400,0.033400,0.044100
0.65,0.25,0.10,0.043400,0.071300,0.083000
0.65,0.20,0.15,0.065400,0.103100,0.112800
0.65,0.15,0.20,0.078000,0.117100,0.146100
0.65,0.10,0.25,0.090100,0.127800,0.168900
0.65,0.05,0.30,0.093800,0.147700,0.169800
0.65,0.00,0.35,0.079000,0.143300,0.196100
0.60,0.40,0.00,0.000000,0.000000,0.000000
0.60,0.35,0.05,0.022300,0.035500,0.043600
0.60,0.30,0.10,0.044100,0.070300,0.081400
0.60,0.25,0.15,0.062200,0.097800,0.113400
0.60,0.20,0.20,0.082200,0.112500,0.137400
0.60,0.15,0.25,0.091900,0.130500,0.159400
0.60,0.10,0.30,0.092600,0.142100,0.172800
0.60,0.05,0.35,0.089400,0.149200,0.194200
0.60,0.00,0.40,0.080200,0.134400,0.194000
0.55,0.45,0.00,0.000000,0.000000,0.000000
0.55,0.40,0.05,0.021700,0.033000,0.043500
0.55,0.35,0.10,0.044000,0.068600,0.085300
0.55,0.30,0.15,0.062500,0.102000,0.115100
0.55,0.25,0.20,0.086000,0.117800,0.137900
0.55,0.20,0.25,0.086400,0.129500,0.155700
0.55,0.15,0.30,0.095200,0.143900,0.178400
0.55,0.10,0.35,0.096700,0.138000,0.191800
0.55,0.05,0.40,0.090800,0.141300,0.204400
0.55,0.00,0.45,0.070500,0.138800,0.205100
0.50,0.50,0.00,0.000000,0.000000,0.000000
0.50,0.45,0.05,0.019200,0.035000,0.042500
0.50,0.40,0.10,0.042000,0.072100,0.081000
0.50,0.35,0.15,0.063300,0.098700,0.114100
0.50,0.30,0.20,0.078800,0.112100,0.136500
0.50,0.25,0.25,0.089400,0.128900,0.154000
0.50,0.20,0.30,0.091000,0.137200,0.175300
0.50,0.15,0.35,0.102900,0.131800,0.185200
0.50,0.10,0.40,0.081600,0.139000,0.199700
0.50,0.05,0.45,0.086300,0.131700,0.223100
0.50,0.00,0.50,0.061000,0.104700,0.213300
0.45,0.55,0.00,0.000000,0.000000,0.000000
0.45,0.50,0.05,0.020600,0.034800,0.046700
0.45,0.45,0.10,0.044300,0.070300,0.076200
0.45,0.40,0.15,0.071000,0.093400,0.106900
0.45,0.35,0.20,0.068900,0.114600,0.139700
0.45,0.30,0.25,0.088700,0.128500,0.152000
0.45,0.25,0.30,0.084300,0.141000,0.173300
0.45,0.20,0.35,0.083500,0.137400,0.186000
0.45,0.15,0.40,0.083100,0.137600,0.202100
0.45,0.10,0.45,0.075700,0.124700,0.207600
0.45,0.05,0.50,0.059600,0.109300,0.214100
0.45,0.00,0.55,0.042700,0.114400,0.224000
0.40,0.60,0.00,0.000000,0.000000,0.000000
0.40,0.55,0.05,0.018600,0.033200,0.044500
0.40,0.50,0.10,0.046000,0.066800,0.080400
0.40,0.45,0.15,0.064700,0.094100,0.105500
0.40,0.40,0.20,0.081000,0.117700,0.133500
0.40,0.35,0.25,0.081800,0.120000,0.156800
