Ag,Au,Cu,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000
0.95,0.05,0.00,0.000000,0.000000
0.95,0.00,0.05,0.041800,0.043900
0.90,0.10,0.00,0.000000,0.000000
0.90,0.05,0.05,0.043000,0.043500
0.90,0.00,0.10,0.076700,0.075800
0.85,0.15,0.00,0.000000,0.000000
0.85,0.10,0.05,0.039700,0.045100
0.85,0.05,0.10,0.076300,0.076600
0.85,0.00,0.15,0.102000,0.099400
0.80,0.20,0.00,0.000000,0.000000
0.80,0.15,0.05,0.039000,0.045700
0.80,0.10,0.10,0.071900,0.076800
0.80,0.05,0.15,0.101000,0.103000
0.80,0.00,0.20,0.123200,0.115700
0.75,0.25,0.00,0.000000,0.000000
0.75,0.20,0.05,0.035100,0.042400
0.75,0.15,0.10,0.066100,0.071000
0.75,0.10,0.15,0.093200,0.101000
0.75,0.05,0.20,0.110900,0.114800
0.75,0.00,0.25,0.130900,0.117600
0.70,0.30,0.00,0.000000,0.000000
0.70,0.25,0.05,0.034500,0.040500
0.70,0.20,0.10,0.067400,0.074600
0.70,0.15,0.15,0.092000,0.096400
0.70,0.10,0.20,0.109200,0.109100
0.70,0.05,0.25,0.118200,0.117300
0.70,0.00,0.30,0.115800,0.123100
0.65,0.35,0.00,0.000000,0.000000
0.65,0.30,0.05,0.033700,0.043200
0.65,0.25,0.10,0.061500,0.070400
0.65,0.20,0.15,0.090500,0.100300
0.65,0.15,0.20,0.108500,0.116300
0.65,0.10,0.25,0.117900,0.124900
0.65,0.05,0.30,0.114000,0.128200
0.65,0.00,0.35,0.112800,0.117900
0.60,0.40,0.00,0.000000,0.000000
0.60,0.35,0.05,0.032600,0.039400
0.60,0.30,0.10,0.063200,0.071800
0.60,0.25,0.15,0.087400,0.097500
0.60,0.20,0.20,0.105200,0.120000
0.60,0.15,0.25,0.115100,0.123900
0.60,0.10,0.30,0.122500,0.118800
0.60,0.05,0.35,0.120500,0.118600
0.60,0.00,0.40,0.100500,0.100900
0.55,0.45,0.00,0.000000,0.000000
