Au,Cu,Pd,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000
0.95,0.05,0.00,0.035900,0.043900
0.95,0.00,0.05,0.028600,0.035200
0.90,0.10,0.00,0.072400,0.075200
0.90,0.05,0.05,0.059300,0.070600
0.90,0.00,0.10,0.043900,0.052700
0.85,0.15,0.00,0.107500,0.109100
0.85,0.10,0.05,0.095400,0.102500
0.85,0.05,0.10,0.076900,0.090800
0.85,0.00,0.15,0.052900,0.065500
0.80,0.20,0.00,0.140500,0.141400
0.80,0.15,0.05,0.129900,0.128400
0.80,0.10,0.10,0.111600,0.121800
0.80,0.05,0.15,0.083100,0.100600
0.80,0.00,0.20,0.056700,0.066200
0.75,0.25,0.00,0.163600,0.162700
0.75,0.20,0.05,0.147500,0.154700
0.75,0.15,0.10,0.135000,0.142500
0.75,0.10,0.15,0.107000,0.131400
0.75,0.05,0.20,0.089400,0.096400
0.75,0.00,0.25,0.053600,0.067500
0.70,0.30,0.00,0.183600,0.174300
0.70,0.25,0.05,0.173200,0.174400
0.70,0.20,0.10,0.155300,0.168400
0.70,0.15,0.15,0.136100,0.156200
0.70,0.10,0.20,0.109600,0.124800
0.70,0.05,0.25,0.083600,0.099000
0.70,0.00,0.30,0.052800,0.062600
0.65,0.35,0.00,0.205100,0.191600
0.65,0.30,0.05,0.189300,0.192400
0.65,0.25,0.10,0.180800,0.182400
0.65,0.20,0.15,0.157900,0.168400
0.65,0.15,0.20,0.128000,0.148000
0.65,0.10,0.25,0.097700,0.120300
0.65,0.05,0.30,0.073100,0.092300
0.65,0.00,0.35,0.040400,0.048200
0.60,0.40,0.00,0.227900,0.195000
0.60,0.35,0.05,0.209500,0.188600
0.60,0.30,0.10,0.194000,0.188100
0.60,0.25,0.15,0.167500,0.174400
0.60,0.20,0.20,0.146300,0.158300
0.60,0.15,0.25,0.119000,0.132700
0.60,0.10,0.30,0.092200,0.109700
0.60,0.05,0.35,0.055800,0.079200
0.60,0.00,0.40,0.032700,0.046000
0.55,0.45,0.00,0.236600,0.208600
0.55,0.40,0.05,0.226300,0.200300
0.55,0.35,0.10,0.209500,0.196600
0.55,0.30,0.15,0.176200,0.185100
0.55,0.25,0.20,0.153600,0.164400
0.55,0.20,0.25,0.129500,0.144300
0.55,0.15,0.30,0.101400,0.119200
0.55,0.10,0.35,0.077400,0.086900
