Au,Cu,Pd,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000,0.000000
0.95,0.05,0.00,0.016500,0.032600,0.042900
0.95,0.00,0.05,0.041000,0.038300,0.040800
0.90,0.10,0.00,0.033900,0.062400,0.076600
0.90,0.05,0.05,0.058100,0.073200,0.077800
0.90,0.00,0.10,0.060700,0.060400,0.061700
0.85,0.15,0.00,0.044500,0.080500,0.102000
0.85,0.10,0.05,0.079400,0.103100,0.105700
0.85,0.05,0.10,0.089300,0.091900,0.095600
0.85,0.00,0.15,0.072800,0.071800,0.071800
0.80,0.20,0.00,0.061000,0.103900,0.126500
0.80,0.15,0.05,0.097600,0.124500,0.133100
0.80,0.10,0.10,0.104000,0.119700,0.121200
0.80,0.05,0.15,0.090900,0.099700,0.100700
0.80,0.00,0.20,0.074000,0.081700,0.078300
0.75,0.25,0.00,0.075800,0.117600,0.148800
0.75,0.20,0.05,0.102700,0.130200,0.151300
0.75,0.15,0.10,0.120800,0.140000,0.140800
0.75,0.10,0.15,0.113700,0.131500,0.123100
0.75,0.05,0.20,0.096600,0.104400,0.099300
0.75,0.00,0.25,0.079500,0.082100,0.079500
0.70,0.30,0.00,0.072700,0.115700,0.156100
0.70,0.25,0.05,0.113500,0.138900,0.150900
0.70,0.20,0.10,0.126300,0.151400,0.155200
0.70,0.15,0.15,0.122700,0.137200,0.145500
0.70,0.10,0.20,0.113700,0.121200,0.115200
0.70,0.05,0.25,0.098100,0.099500,0.103900
0.70,0.00,0.30,0.077100,0.073900,0.070600
0.65,0.35,0.00,0.077700,0.118100,0.161800
0.65,0.30,0.05,0.121400,0.148500,0.164200
0.65,0.25,0.10,0.134500,0.158200,0.162400
0.65,0.20,0.15,0.132800,0.155700,0.152700
0.65,0.15,0.20,0.123900,0.140900,0.141900
0.65,0.10,0.25,0.102300,0.119100,0.117800
0.65,0.05,0.30,0.088700,0.092900,0.095800
0.65,0.00,0.35,0.066100,0.064900,0.064200
0.60,0.40,0.00,0.066400,0.111400,0.166700
0.60,0.35,0.05,0.113400,0.139800,0.172800
0.60,0.30,0.10,0.123800,0.153500,0.164100
0.60,0.25,0.15,0.126700,0.155800,0.161700
0.60,0.20,0.20,0.122900,0.146600,0.143100
0.60,0.15,0.25,0.116100,0.126800,0.127300
0.60,0.10,0.30,0.088100,0.100800,0.096300
0.60,0.05,0.35,0.072600,0.079500,0.077300
0.60,0.00,0.40,0.060000,0.057900,0.049700
0.55,0.45,0.00,0.074900,0.103400,0.168300
0.55,0.40,0.05,0.106800,0.144300,0.173200
0.55,0.35,0.10,0.122500,0.156900,0.172700
0.55,0.30,0.15,0.132300,0.158900,0.164800
0.55,0.25,0.20,0.124300,0.138200,0.153400
0.55,0.20,0.25,0.108100,0.127500,0.131100
0.55,0.15,0.30,0.089600,0.114100,0.103600
0.55,0.10,0.35,0.079600,0.082500,0.090200
0.55,0.05,0.40,0.061100,0.066100,0.069000
0.55,0.00,0.45,0.045200,0.041900,0.040300
0.50,0.50,0.00,0.052600,0.099600,0.170600
0.50,0.45,0.05,0.093300,0.139200,0.185900
0.50,0.40,0.10,0.102000,0.148800,0.180900
0.50,0.35,0.15,0.117300,0.151100,0.162100
0.50,0.30,0.20,0.107800,0.139900,0.141600
0.50,0.25,0.25,0.104600,0.123600,0.129000
0.50,0.20,0.30,0.088500,0.111300,0.106300
0.50,0.15,0.35,0.082400,0.084200,0.084200
0.50,0.10,0.40,0.058600,0.067600,0.073900
0.50,0.05,0.45,0.048500,0.048300,0.055300
0.50,0.00,0.50,0.033300,0.032600,0.035100
0.45,0.55,0.00,0.048400,0.086700,0.187900
0.45,0.50,0.05,0.076300,0.139100,0.191100
0.45,0.45,0.10,0.096800,0.137900,0.176700
0.45,0.40,0.15,0.108900,0.144200,0.173600
0.45,0.35,0.20,0.103900,0.131100,0.146900
0.45,0.30,0.25,0.100900,0.119100,0.128700
0.45,0.25,0.30,0.086500,0.100600,0.112000
0.45,0.20,0.35,0.074700,0.087200,0.089900
0.45,0.15,0.40,0.062600,0.066300,0.069500
0.45,0.10,0.45,0.050600,0.057000,0.057900
0.45,0.05,0.50,0.037900,0.038000,0.037400
0.45,0.00,0.55,0.024000,0.024200,0.021000
0.40,0.60,0.00,0.037600,0.076900,0.189300
0.40,0.55,0.05,0.075300,0.104500,0.195600
0.40,0.50,0.10,0.079700,0.129900,0.181700
0.40,0.45,0.15,0.090300,0.130000,0.162900
0.40,0.40,0.20,0.092000,0.114300,0.157200
0.40,0.35,0.25,0.086700,0.107900,0.136300
0.40,0.30,0.30,0.084900,0.096900,0.108600
0.40,0.25,0.35,0.064000,0.080900,0.089100
0.40,0.20,0.40,0.051700,0.057400,0.072200
0.40,0.15,0.45,0.043100,0.046900,0.051200
0.40,0.10,0.50,0.031700,0.038800,0.041800
0.40,0.05,0.55,0.021500,0.026500,0.022900
0.40,0.00,0.60,0.015200,0.015400,0.015200
0.35,0.65,0.00,0.028600,0.080900,0.200000
0.35,0.60,0.05,0.064100,0.103800,0.188400
0.35,0.55,0.10,0.076800,0.131200,0.193300
0.35,0.50,0.15,0.082800,0.127800,0.173200
0.35,0.45,0.20,0.077200,0.113000,0.150300
0.35,0.40,0.25,0.073300,0.098600,0.126000
0.35,0.35,0.30,0.069200,0.082100,0.102100
0.35,0.30,0.35,0.051000,0.079100,0.087000
0.35,0.25,0.40,0.049800,0.059500,0.066000
0.35,0.20,0.45,0.041400,0.049500,0.054400
0.35,0.15,0.50,0.031300,0.030000,0.038200
0.35,0.10,0.55,0.018400,0.021800,0.025200
0.35,0.05,0.60,0.012800,0.017200,0.016100
0.35,0.00,0.65,0.010300,0.008200,0.009000
0.30,0.70,0.00,0.017200,0.052700,0.206500
0.30,0.65,0.05,0.050700,0.098800,0.213500
0.30,0.60,0.10,0.062300,0.120400,0.199500
0.30,0.55,0.15,0.073100,0.111100,0.179100
0.30,0.50,0.20,0.064000,0.109000,0.153200
0.30,0.45,0.25,0.062400,0.086800,0.121900
0.30,0.40,0.30,0.059800,0.082300,0.104900
0.30,0.35,0.35,0.053600,0.070100,0.079900
0.30,0.30,0.40,0.042300,0.052500,0.064800
0.30,0.25,0.45,0.030900,0.042200,0.040500
0.30,0.20,0.50,0.025400,0.026800,0.037500
0.30,0.15,0.55,0.022000,0.020400,0.023300
0.30,0.10,0.60,0.011600,0.012600,0.016700
0.30,0.05,0.65,0.009800,0.008700,0.010000
0.30,0.00,0.70,0.005200,0.004100,0.003700
0.25,0.75,0.00,0.013200,0.042600,0.209300
0.25,0.70,0.05,0.029600,0.090800,0.222400
0.25,0.65,0.10,0.043300,0.097400,0.206200
0.25,0.60,0.15,0.053300,0.118400,0.181200
0.25,0.55,0.20,0.052200,0.097400,0.156200
0.25,0.50,0.25,0.062400,0.082200,0.129400
0.25,0.45,0.30,0.051000,0.072800,0.108200
0.25,0.40,0.35,0.037200,0.054600,0.080400
0.25,0.35,0.40,0.029500,0.045700,0.057900
0.25,0.30,0.45,0.025100,0.031300,0.044800
0.25,0.25,0.50,0.022200,0.027600,0.034000
0.25,0.20,0.55,0.014000,0.018200,0.021500
0.25,0.15,0.60,0.012400,0.014500,0.015000
0.25,0.10,0.65,0.005900,0.005600,0.008100
0.25,0.05,0.70,0.004000,0.005400,0.004000
0.25,0.00,0.75,0.001800,0.001400,0.001200
0.20,0.80,0.00,0.007200,0.037700,0.220400
0.20,0.75,0.05,0.024300,0.072400,0.227000
0.20,0.70,0.10,0.036800,0.085300,0.214600
0.20,0.65,0.15,0.047100,0.097100,0.185500
0.20,0.60,0.20,0.043400,0.086200,0.170400
0.20,0.55,0.25,0.037900,0.080700,0.121800
0.20,0.50,0.30,0.045300,0.064000,0.092000
0.20,0.45,0.35,0.032700,0.054200,0.078000
0.20,0.40,0.40,0.031000,0.040300,0.055600
0.20,0.35,0.45,0.023500,0.034200,0.044500
0.20,0.30,0.50,0.015900,0.020100,0.024900
0.20,0.25,0.55,0.011300,0.018500,0.021000
0.20,0.20,0.60,0.009200,0.010300,0.013900
0.20,0.15,0.65,0.006100,0.006300,0.008700
0.20,0.10,0.70,0.004600,0.003900,0.004500
0.20,0.05,0.75,0.001500,0.001900,0.002900
0.20,0.00,0.80,0.000900,0.000700,0.000400
0.15,0.85,0.00,0.004200,0.022700,0.228600
0.15,0.80,0.05,0.018500,0.069900,0.238100
0.15,0.75,0.10,0.022900,0.089000,0.230200
0.15,0.70,0.15,0.034200,0.088100,0.206900
0.15,0.65,0.20,0.034600,0.085800,0.170600
0.15,0.60,0.25,0.033500,0.065400,0.139700
0.15,0.55,0.30,0.031900,0.059700,0.104200
