Au,Cu,Pd,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000
0.95,0.05,0.00,0.037600,0.043900
0.95,0.00,0.05,0.037300,0.039800
0.90,0.10,0.00,0.059800,0.073100
0.90,0.05,0.05,0.074300,0.078600
0.90,0.00,0.10,0.063700,0.062000
0.85,0.15,0.00,0.067300,0.095500
0.85,0.10,0.05,0.101800,0.107300
0.85,0.05,0.10,0.098300,0.098400
0.85,0.00,0.15,0.077600,0.074900
0.80,0.20,0.00,0.083100,0.106200
0.80,0.15,0.05,0.116500,0.128800
0.80,0.10,0.10,0.116600,0.127600
0.80,0.05,0.15,0.106900,0.104600
0.80,0.00,0.20,0.085500,0.079900
0.75,0.25,0.00,0.087600,0.114300
0.75,0.20,0.05,0.126100,0.139500
0.75,0.15,0.10,0.138600,0.142200
0.75,0.10,0.15,0.129800,0.132700
0.75,0.05,0.20,0.103600,0.105600
0.75,0.00,0.25,0.087100,0.073700
0.70,0.30,0.00,0.089500,0.103100
0.70,0.25,0.05,0.132900,0.145000
0.70,0.20,0.10,0.149700,0.157400
0.70,0.15,0.15,0.141200,0.146400
0.70,0.10,0.20,0.128000,0.124200
0.70,0.05,0.25,0.100700,0.099200
0.70,0.00,0.30,0.071800,0.075500
0.65,0.35,0.00,0.082600,0.095800
0.65,0.30,0.05,0.135300,0.148900
0.65,0.25,0.10,0.155700,0.154500
0.65,0.20,0.15,0.149400,0.163800
0.65,0.15,0.20,0.140000,0.144600
0.65,0.10,0.25,0.123400,0.119900
0.65,0.05,0.30,0.088100,0.099700
0.65,0.00,0.35,0.064300,0.065200
0.60,0.40,0.00,0.084300,0.089900
0.60,0.35,0.05,0.133200,0.135500
0.60,0.30,0.10,0.145600,0.153500
0.60,0.25,0.15,0.155000,0.157700
0.60,0.20,0.20,0.147400,0.157300
0.60,0.15,0.25,0.127400,0.128800
0.60,0.10,0.30,0.111700,0.107700
0.60,0.05,0.35,0.083100,0.083400
0.60,0.00,0.40,0.051600,0.053700
0.55,0.45,0.00,0.067400,0.076800
0.55,0.40,0.05,0.128900,0.129900
0.55,0.35,0.10,0.146700,0.153800
0.55,0.30,0.15,0.148900,0.155800
0.55,0.25,0.20,0.153800,0.152300
0.55,0.20,0.25,0.138000,0.129600
0.55,0.15,0.30,0.113600,0.112100
0.55,0.10,0.35,0.090400,0.099200
0.55,0.05,0.40,0.065600,0.067400
0.55,0.00,0.45,0.046100,0.039800
0.50,0.50,0.00,0.044900,0.055900
0.50,0.45,0.05,0.114800,0.114800
0.50,0.40,0.10,0.134500,0.143400
0.50,0.35,0.15,0.149500,0.151100
0.50,0.30,0.20,0.135500,0.138700
0.50,0.25,0.25,0.122800,0.137000
0.50,0.20,0.30,0.106800,0.109800
0.50,0.15,0.35,0.089400,0.099100
0.50,0.10,0.40,0.070000,0.074300
0.50,0.05,0.45,0.052200,0.050400
0.50,0.00,0.50,0.030000,0.033000
0.45,0.55,0.00,0.038100,0.042600
0.45,0.50,0.05,0.099400,0.110700
0.45,0.45,0.10,0.128500,0.133100
0.45,0.40,0.15,0.138000,0.140100
0.45,0.35,0.20,0.132800,0.140600
0.45,0.30,0.25,0.124700,0.131600
0.45,0.25,0.30,0.103800,0.108500
0.45,0.20,0.35,0.093000,0.092500
0.45,0.15,0.40,0.068400,0.072500
0.45,0.10,0.45,0.054500,0.057700
0.45,0.05,0.50,0.036000,0.039500
0.45,0.00,0.55,0.021900,0.025100
0.40,0.60,0.00,0.030600,0.032500
0.40,0.55,0.05,0.089500,0.093700
0.40,0.50,0.10,0.118500,0.133200
0.40,0.45,0.15,0.130500,0.140200
0.40,0.40,0.20,0.128200,0.132500
0.40,0.35,0.25,0.121300,0.114200
0.40,0.30,0.30,0.100000,0.106700
0.40,0.25,0.35,0.082500,0.081500
0.40,0.20,0.40,0.064000,0.065900
0.40,0.15,0.45,0.053000,0.051300
0.40,0.10,0.50,0.042700,0.038500
0.40,0.05,0.55,0.024900,0.024700
0.40,0.00,0.60,0.015600,0.014100
0.35,0.65,0.00,0.024700,0.021200
0.35,0.60,0.05,0.073900,0.081700
0.35,0.55,0.10,0.102600,0.115300
0.35,0.50,0.15,0.116700,0.122900
0.35,0.45,0.20,0.119400,0.122800
0.35,0.40,0.25,0.113100,0.116000
0.35,0.35,0.30,0.092700,0.097500
0.35,0.30,0.35,0.084800,0.079600
0.35,0.25,0.40,0.067200,0.062500
0.35,0.20,0.45,0.050300,0.053500
0.35,0.15,0.50,0.034800,0.035700
0.35,0.10,0.55,0.022800,0.024200
0.35,0.05,0.60,0.018400,0.016100
0.35,0.00,0.65,0.008400,0.009000
0.30,0.70,0.00,0.014200,0.016300
0.30,0.65,0.05,0.059800,0.070000
0.30,0.60,0.10,0.091700,0.099600
0.30,0.55,0.15,0.103900,0.113600
0.30,0.50,0.20,0.116800,0.113500
0.30,0.45,0.25,0.099600,0.107200
0.30,0.40,0.30,0.089000,0.091500
0.30,0.35,0.35,0.073200,0.079800
0.30,0.30,0.40,0.061200,0.067400
0.30,0.25,0.45,0.043800,0.048100
0.30,0.20,0.50,0.033100,0.033300
0.30,0.15,0.55,0.021100,0.024300
0.30,0.10,0.60,0.015700,0.018600
0.30,0.05,0.65,0.008600,0.008700
0.30,0.00,0.70,0.006900,0.005600
0.25,0.75,0.00,0.008600,0.007400
0.25,0.70,0.05,0.050300,0.070800
0.25,0.65,0.10,0.079300,0.092600
0.25,0.60,0.15,0.096500,0.110100
