# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.0944
0.07,0.02,0.36,0.25,0.30,0.0094
0.16,0.52,0.16,0.16,0.00,0.0694
0.00,0.41,0.41,0.18,0.00,0.1264
0.09,0.36,0.54,-0.00,0.00,0.1359
0.00,0.22,0.71,0.07,0.00,0.2081
0.00,0.00,1.00,0.00,0.00,0.2574
0.00,0.00,0.00,1.00,0.00,0.0000
1.00,0.00,0.00,0.00,0.00,0.0000
0.19,0.00,0.81,-0.00,0.00,0.2306
-0.00,-0.00,0.81,0.19,0.00,0.2062
0.00,0.00,0.87,0.00,0.13,0.0869
0.00,0.00,1.00,0.00,0.00,0.2595
0.00,0.00,0.00,0.00,1.00,0.0000
0.54,0.00,0.46,-0.00,0.00,0.1869
0.52,-0.00,-0.00,0.48,0.00,0.0314
0.52,0.00,-0.00,-0.00,0.48,0.0155
0.00,0.00,1.00,0.00,0.00,0.2658
0.00,0.54,-0.00,-0.00,0.46,0.0406
0.00,1.00,0.00,0.00,0.00,0.0000
-0.00,-0.00,0.00,0.53,0.47,0.0000
0.00,0.00,1.00,0.00,0.00,0.2617
0.00,0.00,1.00,0.00,0.00,0.2733
0.00,0.00,1.00,0.00,0.00,0.2704
-0.00,-0.00,0.42,0.58,0.00,0.0278
0.00,0.46,0.00,0.54,0.00,0.0625
0.62,0.38,0.00,-0.00,0.00,0.0000
0.33,0.00,0.46,0.21,0.00,0.1704
-0.00,0.08,0.92,-0.00,0.00,0.2501
0.00,0.00,1.00,0.00,0.00,0.2632
0.00,0.00,1.00,0.00,0.00,0.2779
0.00,0.00,1.00,0.00,0.00,0.2622
0.00,0.00,1.00,0.00,0.00,0.2612
0.00,0.00,1.00,0.00,0.00,0.2677
0.00,0.00,1.00,0.00,0.00,0.2621
0.00,0.00,1.00,0.00,0.00,0.2717
0.00,0.00,1.00,0.00,0.00,0.2696
0.00,0.00,1.00,0.00,0.00,0.2655
0.00,0.00,1.00,0.00,0.00,0.2731
0.00,0.00,1.00,0.00,0.00,0.2654
0.00,0.00,1.00,0.00,0.00,0.2653
0.00,0.00,1.00,0.00,0.00,0.2781
0.00,0.00,1.00,0.00,0.00,0.2573
0.00,0.00,1.00,0.00,0.00,0.2713
0.00,0.00,1.00,0.00,0.00,0.2631
0.00,0.00,1.00,0.00,0.00,0.2707
0.00,0.00,1.00,0.00,0.00,0.2677
0.00,0.00,1.00,0.00,0.00,0.2602
0.00,0.00,1.00,0.00,0.00,0.2651
0.00,0.00,1.00,0.00,0.00,0.2668
0.00,0.00,1.00,0.00,0.00,0.2674
0.00,0.00,1.00,0.00,0.00,0.2747
0.00,0.00,1.00,0.00,0.00,0.2753
0.00,0.00,1.00,0.00,0.00,0.2614
0.00,0.00,1.00,0.00,0.00,0.2730
0.00,0.00,1.00,0.00,0.00,0.2692
0.00,0.00,1.00,0.00,0.00,0.2737
0.00,0.00,1.00,0.00,0.00,0.2660
0.00,0.00,1.00,0.00,0.00,0.2601
0.00,0.00,1.00,0.00,0.00,0.2608
0.00,0.00,1.00,0.00,0.00,0.2598
0.00,0.00,1.00,0.00,0.00,0.2681
0.00,0.00,1.00,0.00,0.00,0.2576
0.00,0.00,1.00,0.00,0.00,0.2594
0.00,0.00,1.00,0.00,0.00,0.2744
0.00,0.00,1.00,0.00,0.00,0.2567
0.00,0.00,1.00,0.00,0.00,0.2599
0.00,0.00,1.00,0.00,0.00,0.2632
0.00,0.00,1.00,0.00,0.00,0.2683
0.00,0.00,1.00,0.00,0.00,0.2694
0.00,0.00,1.00,0.00,0.00,0.2601
0.00,0.00,1.00,0.00,0.00,0.2680
0.00,0.00,1.00,0.00,0.00,0.2682
0.00,0.00,1.00,0.00,0.00,0.2684
0.00,0.00,1.00,0.00,0.00,0.2644
0.00,0.00,1.00,0.00,0.00,0.2768
0.00,0.00,1.00,0.00,0.00,0.2695
0.00,0.00,1.00,0.00,0.00,0.2683
0.00,0.00,1.00,0.00,0.00,0.2622
0.00,0.00,1.00,0.00,0.00,0.2672
0.00,0.00,1.00,0.00,0.00,0.2602
0.00,0.00,1.00,0.00,0.00,0.2745
0.00,0.00,1.00,0.00,0.00,0.2607
0.00,0.00,1.00,0.00,0.00,0.2769
0.00,0.00,1.00,0.00,0.00,0.2661
0.00,0.00,1.00,0.00,0.00,0.2517
