# Ag,Au,Cu,Pd,Pt,P_NO=1,P_NO=05,P_NO=01
1.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.95,0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.95,0.00,0.05,0.00,0.00,0.0157,0.0256,0.0134
0.95,0.00,0.00,0.05,0.00,0.0225,0.0276,0.0133
0.95,0.00,0.00,0.00,0.05,0.0000,0.0000,0.0000
0.90,0.10,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.90,0.05,0.05,0.00,0.00,0.0177,0.0289,0.0138
0.90,0.05,0.00,0.05,0.00,0.0248,0.0288,0.0118
0.90,0.05,0.00,0.00,0.05,0.0001,0.0000,0.0000
0.90,0.00,0.10,0.00,0.00,0.0265,0.0602,0.0245
0.90,0.00,0.05,0.05,0.00,0.0411,0.0575,0.0379
0.90,0.00,0.05,0.00,0.05,0.0132,0.0190,0.0100
0.90,0.00,0.00,0.10,0.00,0.0411,0.0483,0.0256
0.90,0.00,0.00,0.05,0.05,0.0175,0.0207,0.0059
0.90,0.00,0.00,0.00,0.10,0.0001,0.0001,0.0000
0.85,0.15,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.85,0.10,0.05,0.00,0.00,0.0164,0.0281,0.0133
0.85,0.10,0.00,0.05,0.00,0.0250,0.0239,0.0109
0.85,0.10,0.00,0.00,0.05,0.0007,0.0003,0.0000
0.85,0.05,0.10,0.00,0.00,0.0289,0.0517,0.0479
0.85,0.05,0.00,0.10,0.00,0.0400,0.0517,0.0342
0.85,0.05,0.00,0.00,0.10,0.0011,0.0004,0.0002
0.85,0.00,0.15,0.00,0.00,0.0416,0.0805,0.0626
0.85,0.00,0.10,0.05,0.00,0.0626,0.0875,0.0552
0.85,0.00,0.10,0.00,0.05,0.0319,0.0446,0.0249
0.85,0.00,0.05,0.10,0.00,0.0582,0.0829,0.0642
0.85,0.00,0.05,0.00,0.10,0.0115,0.0192,0.0150
0.85,0.00,0.00,0.15,0.00,0.0545,0.0665,0.0544
0.85,0.00,0.00,0.10,0.05,0.0295,0.0327,0.0204
0.85,0.00,0.00,0.05,0.10,0.0147,0.0179,0.0076
0.85,0.00,0.00,0.00,0.15,0.0007,0.0006,0.0002
0.80,0.20,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.80,0.15,0.05,0.00,0.00,0.0145,0.0269,0.0175
0.80,0.15,0.00,0.05,0.00,0.0218,0.0280,0.0118
0.80,0.15,0.00,0.00,0.05,0.0007,0.0005,0.0000
0.80,0.10,0.10,0.00,0.00,0.0299,0.0602,0.0399
0.80,0.10,0.00,0.10,0.00,0.0413,0.0448,0.0268
0.80,0.10,0.00,0.00,0.10,0.0015,0.0012,0.0006
0.80,0.05,0.15,0.00,0.00,0.0429,0.0795,0.0556
0.80,0.05,0.00,0.15,0.00,0.0501,0.0614,0.0555
0.80,0.05,0.00,0.00,0.15,0.0034,0.0024,0.0012
0.80,0.00,0.20,0.00,0.00,0.0535,0.0992,0.1046
0.80,0.00,0.15,0.05,0.00,0.0732,0.1089,0.0903
0.80,0.00,0.15,0.00,0.05,0.0372,0.0617,0.0665
0.80,0.00,0.10,0.10,0.00,0.0728,0.1030,0.0768
0.80,0.00,0.10,0.00,0.10,0.0230,0.0348,0.0313
0.80,0.00,0.05,0.15,0.00,0.0625,0.0854,0.0792
0.80,0.00,0.05,0.00,0.15,0.0114,0.0125,0.0112
0.80,0.00,0.00,0.20,0.00,0.0558,0.0693,0.0545
0.80,0.00,0.00,0.15,0.05,0.0402,0.0427,0.0326
0.80,0.00,0.00,0.10,0.10,0.0235,0.0260,0.0217
0.80,0.00,0.00,0.05,0.15,0.0117,0.0151,0.0092
0.80,0.00,0.00,0.00,0.20,0.0026,0.0032,0.0015
0.75,0.25,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.75,0.20,0.05,0.00,0.00,0.0180,0.0272,0.0169
0.75,0.20,0.00,0.05,0.00,0.0222,0.0299,0.0084
0.75,0.20,0.00,0.00,0.05,0.0010,0.0007,0.0001
0.75,0.15,0.10,0.00,0.00,0.0352,0.0580,0.0352
0.75,0.15,0.00,0.10,0.00,0.0415,0.0422,0.0263
0.75,0.15,0.00,0.00,0.10,0.0026,0.0026,0.0002
0.75,0.10,0.15,0.00,0.00,0.0512,0.0778,0.0614
0.75,0.10,0.00,0.15,0.00,0.0537,0.0604,0.0539
0.75,0.10,0.00,0.00,0.15,0.0038,0.0041,0.0027
0.75,0.05,0.20,0.00,0.00,0.0532,0.0999,0.0818
