# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.0767
0.07,0.02,0.36,0.25,0.30,0.0081
0.16,0.41,0.10,0.28,0.05,0.0482
0.08,0.46,0.34,0.12,0.00,0.1536
-0.00,0.63,0.37,-0.00,0.00,0.1717
-0.00,0.43,0.57,-0.00,0.00,0.2484
0.00,0.16,0.84,-0.00,0.00,0.3029
0.00,0.01,0.99,-0.00,0.00,0.3146
0.99,0.00,0.01,-0.00,0.00,0.0021
0.21,0.00,0.79,-0.00,0.00,0.3006
0.01,0.00,0.99,-0.00,0.00,0.3159
-0.00,-0.00,0.83,0.00,0.17,0.0933
0.00,0.00,-0.00,0.99,0.01,0.0000
0.00,0.00,-0.00,0.01,0.99,0.0000
0.00,-0.00,0.79,0.21,0.00,0.2422
0.49,-0.00,0.00,-0.00,0.51,0.0000
-0.00,-0.00,-0.00,0.51,0.49,0.0000
-0.00,0.53,-0.00,-0.00,0.47,0.0148
0.47,0.53,0.00,-0.00,0.00,0.0000
0.00,0.99,-0.00,0.01,0.00,0.0021
0.51,-0.00,-0.00,0.49,0.00,0.0110
0.00,-0.00,0.41,0.59,0.00,0.0188
0.59,0.00,0.41,-0.00,0.00,0.1966
0.21,0.19,0.59,-0.00,0.00,0.2588
-0.00,0.38,-0.00,0.62,0.00,0.0049
0.30,-0.00,0.53,0.17,0.00,0.1341
-0.00,-0.00,0.31,0.00,0.69,0.0000
0.42,0.00,0.34,0.00,0.24,0.0259
-0.00,0.71,-0.00,0.29,0.00,0.0238
-0.00,0.20,-0.00,0.16,0.64,0.0001
0.67,0.18,0.00,0.15,0.00,0.0304
-0.00,0.38,0.37,0.00,0.25,0.0692
0.76,-0.00,0.00,-0.00,0.24,0.0000
0.34,-0.00,0.00,0.33,0.33,0.0007
-0.00,0.21,0.66,0.14,0.00,0.1975
0.00,0.01,0.99,-0.00,0.00,0.3149
0.42,0.28,0.30,-0.00,0.00,0.1398
0.00,-0.00,0.93,0.07,0.00,0.3083
0.00,0.01,0.99,-0.00,0.00,0.3140
0.09,0.02,0.89,-0.00,0.00,0.3126
0.32,0.34,0.00,0.00,0.34,0.0038
0.00,0.37,0.00,0.34,0.29,0.0045
0.23,0.00,0.00,0.77,0.00,0.0003
0.00,0.00,0.00,0.77,0.23,0.0000
-0.00,0.78,-0.00,0.00,0.22,0.0330
0.21,-0.00,-0.00,-0.00,0.79,0.0001
0.21,0.79,0.00,-0.00,0.00,0.0000
0.78,0.00,-0.00,0.22,0.00,0.0325
-0.00,-0.00,-0.00,0.22,0.78,0.0000
0.79,0.00,0.21,-0.00,0.00,0.1023
0.16,0.46,0.38,-0.00,0.00,0.1809
0.00,0.34,0.24,0.42,0.00,0.0461
0.79,0.21,0.00,-0.00,0.00,0.0000
0.53,-0.00,0.23,0.24,0.00,0.0604
0.00,-0.00,0.54,-0.00,0.46,0.0047
0.01,0.00,0.99,-0.00,0.00,0.3202
0.01,0.00,0.99,-0.00,0.00,0.3227
0.01,0.00,0.99,-0.00,0.00,0.3187
0.01,0.00,0.99,-0.00,0.00,0.3191
0.08,0.00,0.92,-0.00,0.00,0.3201
0.01,0.00,0.99,-0.00,0.00,0.3165
0.01,0.00,0.99,-0.00,0.00,0.3200
0.07,0.00,0.93,-0.00,0.00,0.3118
-0.00,0.07,0.93,-0.00,0.00,0.3158
0.07,0.00,0.93,-0.00,0.00,0.3124
0.00,0.06,0.94,-0.00,0.00,0.3140
-0.00,-0.00,0.96,0.04,0.00,0.3171
-0.00,-0.00,0.96,0.04,0.00,0.3161
0.00,0.00,0.99,0.01,0.00,0.3182
0.06,0.00,0.94,-0.00,0.00,0.3149
-0.00,0.04,0.96,-0.00,0.00,0.3148
0.00,0.00,0.97,0.03,0.00,0.3220
0.00,0.00,0.97,0.03,0.00,0.3157
0.00,0.00,0.99,0.01,0.00,0.3199
0.00,0.00,0.99,0.01,0.00,0.3223
0.00,0.00,0.99,0.01,0.00,0.3165
0.00,0.00,0.99,0.01,0.00,0.3231
0.00,0.00,0.99,0.01,0.00,0.3184
0.00,0.00,0.99,0.01,0.00,0.3210
0.00,0.00,0.99,0.01,0.00,0.3207
0.00,0.00,0.99,0.01,0.00,0.3200
0.00,0.00,0.99,0.01,0.00,0.3188
0.00,0.00,0.99,0.01,0.00,0.3237
0.00,0.00,0.99,0.01,0.00,0.3181
0.00,0.00,0.99,0.01,0.00,0.3175
0.00,0.00,0.99,0.01,0.00,0.3196
0.00,0.00,0.99,0.01,0.00,0.3228
0.00,0.00,0.99,0.01,0.00,0.3135
0.00,0.00,0.99,0.01,0.00,0.3229
0.00,0.00,0.99,0.01,0.00,0.3237
0.00,0.00,0.99,0.01,0.00,0.3290
0.00,0.00,0.99,0.01,0.00,0.3217
0.00,0.00,0.99,0.01,0.00,0.3216
0.00,0.00,0.99,0.01,0.00,0.3169
0.00,0.00,0.99,0.01,0.00,0.3178
0.00,0.00,0.99,0.01,0.00,0.3265
0.00,0.00,0.99,0.01,0.00,0.3185
0.00,0.00,0.99,0.01,0.00,0.3261
0.00,0.00,0.99,0.01,0.00,0.3150
0.00,0.00,0.99,0.01,0.00,0.3152
0.00,0.00,0.99,0.01,0.00,0.3221
0.00,0.00,0.99,0.01,0.00,0.3236
0.00,0.00,0.99,0.01,0.00,0.3224
0.00,0.00,0.99,0.01,0.00,0.3213
0.00,0.00,0.99,0.01,0.00,0.3228
0.00,0.00,0.99,0.01,0.00,0.3244
0.00,0.00,0.99,0.01,0.00,0.3166
0.00,0.00,0.99,0.01,0.00,0.3130
0.00,0.00,0.99,0.01,0.00,0.3206
0.00,0.00,0.99,0.01,0.00,0.3177
0.00,0.00,0.99,0.01,0.00,0.3156
0.00,0.00,0.99,0.01,0.00,0.3271
0.00,0.00,0.99,0.01,0.00,0.3232
0.00,0.00,0.99,0.01,0.00,0.3295
0.00,0.00,0.99,0.01,0.00,0.3148
0.00,0.00,0.99,0.01,0.00,0.3208
0.00,0.00,0.99,0.01,0.00,0.3219
0.00,0.00,0.99,0.01,0.00,0.3201
0.00,0.00,0.99,0.01,0.00,0.3208
0.00,0.00,0.99,0.01,0.00,0.3214
0.00,0.00,0.99,0.01,0.00,0.3251
0.00,0.00,0.99,0.01,0.00,0.3190
0.00,0.00,0.99,0.01,0.00,0.3230
0.00,0.00,0.99,0.01,0.00,0.3182
0.00,0.00,0.99,0.01,0.00,0.3124
0.00,0.00,0.99,0.01,0.00,0.3275
0.00,0.00,0.99,0.01,0.00,0.3187
0.00,0.00,0.99,0.01,0.00,0.3187
0.00,0.00,0.99,0.01,0.00,0.3209
0.00,0.00,0.99,0.01,0.00,0.3258
0.00,0.00,0.99,0.01,0.00,0.3234
0.00,0.00,0.99,0.01,0.00,0.3200
0.00,0.00,0.99,0.01,0.00,0.3211
0.00,0.00,0.99,0.01,0.00,0.3138
0.00,0.00,0.99,0.01,0.00,0.3118
0.01,0.00,0.96,0.03,0.00,0.3092
0.01,0.00,0.99,-0.00,0.00,0.3192
0.01,0.00,0.99,-0.00,0.00,0.3215
0.01,0.00,0.99,-0.00,0.00,0.3147
0.01,0.00,0.99,-0.00,0.00,0.3229
0.01,0.00,0.99,-0.00,0.00,0.3191
0.01,0.00,0.99,-0.00,0.00,0.3191
0.01,0.00,0.99,-0.00,0.00,0.3258
0.01,0.00,0.99,-0.00,0.00,0.3182
0.01,0.00,0.99,-0.00,0.00,0.3136
0.01,0.00,0.99,-0.00,0.00,0.3157
0.00,0.01,0.99,-0.00,0.00,0.3282
0.00,0.01,0.99,-0.00,0.00,0.3180
0.00,0.01,0.99,-0.00,0.00,0.3153
0.01,0.00,0.99,-0.00,0.00,0.3207
0.01,0.00,0.99,-0.00,0.00,0.3212
0.01,0.00,0.99,-0.00,0.00,0.3158
0.99,0.01,0.00,-0.00,0.00,0.0000
0.00,0.01,0.99,-0.00,0.00,0.3147
0.98,0.02,0.00,-0.00,0.00,0.0000
0.00,0.00,0.99,0.01,0.00,0.3228
0.00,0.00,0.99,0.01,0.00,0.3259
0.00,0.00,0.99,0.01,0.00,0.3257
0.00,0.00,0.99,0.01,0.00,0.3155
0.00,0.00,0.99,0.01,0.00,0.3181
0.00,0.00,0.99,0.01,0.00,0.3214
0.00,0.00,0.99,0.01,0.00,0.3189
0.00,0.00,0.99,0.01,0.00,0.3270
0.00,0.00,0.99,0.01,0.00,0.3157
0.00,0.00,0.99,0.01,0.00,0.3228
0.00,0.00,0.99,0.01,0.00,0.3234
0.00,0.00,0.99,0.01,0.00,0.3203
0.00,0.00,0.99,0.01,0.00,0.3167
0.00,0.00,0.99,0.01,0.00,0.3230
0.00,0.00,0.99,0.01,0.00,0.3255
0.00,0.00,0.99,0.01,0.00,0.3223
0.00,0.00,0.99,0.01,0.00,0.3225
0.00,0.00,0.99,0.01,0.00,0.3203
0.00,0.00,0.99,0.01,0.00,0.3245
0.00,0.00,0.99,0.01,0.00,0.3203
0.00,0.00,0.99,0.01,0.00,0.3224
0.00,0.00,0.99,0.01,0.00,0.3237
0.98,0.01,0.01,-0.00,0.00,0.0019
0.00,0.00,0.99,0.01,0.00,0.3182
0.00,0.00,0.99,0.01,0.00,0.3131
0.00,0.00,0.99,0.01,0.00,0.3163
0.00,0.00,0.99,0.01,0.00,0.3142
0.00,0.00,0.99,0.01,0.00,0.3229
0.00,0.00,0.99,0.01,0.00,0.3119
0.00,0.00,0.99,0.01,0.00,0.3227
0.00,0.00,0.99,0.01,0.00,0.3170
0.00,0.00,0.99,0.01,0.00,0.3216
0.00,0.00,0.99,0.01,0.00,0.3241
0.00,0.00,0.99,0.01,0.00,0.3203
0.00,0.00,0.99,0.01,0.00,0.3305
0.00,0.00,0.99,0.01,0.00,0.3212
0.00,0.00,0.99,0.01,0.00,0.3191
0.99,0.01,0.01,-0.00,0.00,0.0027
0.00,0.00,0.99,0.01,0.00,0.3172
0.00,0.00,0.99,0.01,0.00,0.3167
0.00,0.00,0.99,0.01,0.00,0.3210
0.00,0.00,0.99,0.01,0.00,0.3182
0.00,0.00,0.99,0.01,0.00,0.3233
0.00,0.00,0.99,0.01,0.00,0.3194
0.00,0.00,0.99,0.01,0.00,0.3188
0.00,0.00,0.99,0.01,0.00,0.3148
0.00,0.00,0.99,0.01,0.00,0.3195
