# Ag,Au,Cu,Pd,Pt,P_NO=1,P_NO=05,P_NO=01
1.00,0.00,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.95,0.05,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.95,0.00,0.05,0.00,0.00,0.0216,0.0309,0.0402
0.95,0.00,0.00,0.05,0.00,0.0117,0.0227,0.0343
0.95,0.00,0.00,0.00,0.05,0.0000,0.0000,0.0000
0.90,0.10,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.90,0.05,0.05,0.00,0.00,0.0214,0.0294,0.0474
0.90,0.05,0.00,0.05,0.00,0.0128,0.0238,0.0333
0.90,0.05,0.00,0.00,0.05,0.0001,0.0000,0.0001
0.90,0.00,0.10,0.00,0.00,0.0425,0.0631,0.0860
0.90,0.00,0.05,0.05,0.00,0.0347,0.0575,0.0703
0.90,0.00,0.05,0.00,0.05,0.0123,0.0231,0.0322
0.90,0.00,0.00,0.10,0.00,0.0235,0.0386,0.0522
0.90,0.00,0.00,0.05,0.05,0.0106,0.0187,0.0273
0.90,0.00,0.00,0.00,0.10,0.0001,0.0001,0.0001
0.85,0.15,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.85,0.10,0.05,0.00,0.00,0.0186,0.0304,0.0423
0.85,0.10,0.00,0.05,0.00,0.0139,0.0236,0.0339
0.85,0.10,0.00,0.00,0.05,0.0003,0.0001,0.0004
0.85,0.05,0.10,0.00,0.00,0.0431,0.0601,0.0788
0.85,0.05,0.00,0.10,0.00,0.0202,0.0372,0.0590
0.85,0.05,0.00,0.00,0.10,0.0004,0.0002,0.0014
0.85,0.00,0.15,0.00,0.00,0.0652,0.0935,0.1148
0.85,0.00,0.10,0.05,0.00,0.0605,0.0873,0.1093
0.85,0.00,0.10,0.00,0.05,0.0267,0.0499,0.0614
0.85,0.00,0.05,0.10,0.00,0.0510,0.0746,0.0960
0.85,0.00,0.05,0.00,0.10,0.0112,0.0173,0.0238
0.85,0.00,0.00,0.15,0.00,0.0270,0.0543,0.0708
0.85,0.00,0.00,0.10,0.05,0.0156,0.0283,0.0431
0.85,0.00,0.00,0.05,0.10,0.0080,0.0119,0.0205
0.85,0.00,0.00,0.00,0.15,0.0001,0.0008,0.0005
0.80,0.20,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.80,0.15,0.05,0.00,0.00,0.0189,0.0309,0.0409
0.80,0.15,0.00,0.05,0.00,0.0154,0.0224,0.0373
0.80,0.15,0.00,0.00,0.05,0.0002,0.0006,0.0005
0.80,0.10,0.10,0.00,0.00,0.0383,0.0637,0.0854
0.80,0.10,0.00,0.10,0.00,0.0255,0.0381,0.0567
0.80,0.10,0.00,0.00,0.10,0.0011,0.0017,0.0019
0.80,0.05,0.15,0.00,0.00,0.0633,0.0960,0.1170
0.80,0.05,0.00,0.15,0.00,0.0288,0.0497,0.0693
0.80,0.05,0.00,0.00,0.15,0.0009,0.0015,0.0039
0.80,0.00,0.20,0.00,0.00,0.0955,0.1364,0.1496
0.80,0.00,0.15,0.05,0.00,0.0890,0.1181,0.1381
0.80,0.00,0.15,0.00,0.05,0.0491,0.0805,0.0862
0.80,0.00,0.10,0.10,0.00,0.0708,0.1047,0.1221
0.80,0.00,0.10,0.00,0.10,0.0264,0.0327,0.0496
0.80,0.00,0.05,0.15,0.00,0.0510,0.0812,0.1076
0.80,0.00,0.05,0.00,0.15,0.0075,0.0150,0.0221
0.80,0.00,0.00,0.20,0.00,0.0334,0.0558,0.0787
0.80,0.00,0.00,0.15,0.05,0.0200,0.0334,0.0467
0.80,0.00,0.00,0.10,0.10,0.0121,0.0220,0.0323
0.80,0.00,0.00,0.05,0.15,0.0044,0.0113,0.0147
0.80,0.00,0.00,0.00,0.20,0.0005,0.0017,0.0025
0.75,0.25,0.00,0.00,0.00,0.0000,0.0000,0.0000
0.75,0.20,0.05,0.00,0.00,0.0203,0.0303,0.0440
0.75,0.20,0.00,0.05,0.00,0.0133,0.0229,0.0362
0.75,0.20,0.00,0.00,0.05,0.0004,0.0010,0.0014
0.75,0.15,0.10,0.00,0.00,0.0386,0.0617,0.0832
0.75,0.15,0.00,0.10,0.00,0.0227,0.0403,0.0567
0.75,0.15,0.00,0.00,0.10,0.0019,0.0021,0.0025
0.75,0.10,0.15,0.00,0.00,0.0613,0.0897,0.1118
0.75,0.10,0.00,0.15,0.00,0.0293,0.0497,0.0670
0.75,0.10,0.00,0.00,0.15,0.0024,0.0038,0.0059
0.75,0.05,0.20,0.00,0.00,0.0875,0.1284,0.1480
