# Ag,Au,Cu,Pd,Pt,active sites
0.13,0.34,0.26,0.21,0.06,0.1270
0.07,0.02,0.36,0.25,0.30,0.0117
0.15,0.48,0.19,0.18,0.00,0.1399
0.06,0.45,-0.00,0.49,0.00,0.0505
0.36,0.40,0.24,-0.00,0.00,0.0945
0.01,0.53,0.38,0.09,0.00,0.1473
-0.00,0.56,0.21,0.04,0.20,0.1091
0.00,0.49,0.29,0.22,0.00,0.1575
0.00,0.98,0.02,-0.00,0.00,0.0008
-0.00,0.29,0.54,0.17,0.00,0.1725
-0.00,0.12,0.88,-0.00,0.00,0.0341
-0.00,0.36,0.44,0.20,0.00,0.1724
0.00,0.09,0.57,0.34,0.00,0.1077
0.14,0.28,0.51,0.07,0.00,0.1497
-0.00,0.31,0.52,0.01,0.16,0.0977
1.00,0.00,0.00,0.00,0.00,0.0000
-0.00,0.34,-0.00,-0.00,0.66,0.0128
0.00,0.00,0.00,1.00,0.00,0.0000
0.52,-0.00,0.48,-0.00,0.00,0.0775
0.56,0.00,-0.00,0.00,0.44,0.0196
0.58,0.00,-0.00,0.42,0.00,0.0521
0.27,0.52,-0.00,-0.00,0.21,0.0691
0.00,0.00,0.00,0.00,1.00,0.0000
-0.00,0.59,0.00,0.22,0.18,0.0691
-0.00,0.38,0.43,0.19,0.00,0.1650
-0.00,0.38,0.44,0.18,0.00,0.1730
-0.00,0.37,0.45,0.18,0.00,0.1775
-0.00,0.36,0.46,0.18,0.00,0.1712
0.33,0.00,0.39,0.28,0.00,0.1471
0.24,0.00,0.58,0.18,0.00,0.1669
0.18,0.14,0.49,0.19,0.00,0.1691
0.49,0.33,-0.00,0.18,0.00,0.0815
0.27,0.00,0.51,0.07,0.14,0.0590
0.00,-0.00,0.00,0.54,0.46,0.0000
0.34,0.66,0.00,-0.00,0.00,0.0000
0.24,-0.00,0.17,0.59,0.00,0.0216
0.58,0.06,0.21,0.15,0.00,0.1655
0.44,0.13,0.26,0.18,0.00,0.1638
0.64,0.18,0.18,-0.00,0.00,0.1086
0.54,-0.00,0.16,0.18,0.13,0.0749
0.12,0.00,0.68,0.20,0.00,0.1579
-0.00,-0.00,0.33,-0.00,0.67,0.0019
0.51,-0.00,0.31,0.19,0.00,0.1644
0.11,0.14,0.60,0.16,0.00,0.1595
0.28,-0.00,0.00,0.00,0.72,0.0031
0.00,0.41,0.59,-0.00,0.00,0.0770
0.09,0.33,0.42,0.16,0.00,0.1668
-0.00,-0.00,0.69,0.13,0.18,0.0408
0.24,0.00,0.76,0.01,0.00,0.0202
0.18,-0.00,0.56,0.26,0.00,0.1501
0.38,0.09,0.39,0.14,0.00,0.1689
0.17,0.30,0.20,0.00,0.33,0.0544
0.00,0.40,0.37,0.15,0.08,0.1317
0.09,0.24,0.49,0.18,0.00,0.1728
0.00,0.64,0.00,0.00,0.36,0.0709
0.08,0.26,0.49,0.17,0.00,0.1616
0.43,0.09,0.32,0.16,0.00,0.1781
0.44,0.08,0.32,0.16,0.00,0.1790
0.45,0.08,0.32,0.15,0.00,0.1718
0.32,0.11,0.41,0.16,0.00,0.1716
0.44,0.06,0.33,0.16,0.00,0.1777
0.71,0.00,0.26,0.03,0.00,0.1515
0.33,0.26,0.00,0.41,0.00,0.0508
-0.00,0.68,0.18,0.14,0.00,0.1193
-0.00,-0.00,0.00,0.28,0.72,0.0000
0.53,0.04,0.30,0.12,0.00,0.1755
0.51,0.06,0.30,0.13,0.00,0.1789
0.51,0.06,0.30,0.13,0.00,0.1752
-0.00,0.24,0.00,0.76,0.00,0.0133
-0.00,0.31,0.00,0.30,0.39,0.0182
0.58,0.00,0.28,0.14,0.00,0.1833
0.58,0.00,0.28,0.14,0.00,0.1813
0.69,-0.00,0.17,0.14,0.00,0.1640
0.58,0.00,0.28,0.14,0.00,0.1799
0.00,-0.00,0.78,0.22,0.00,0.1432
-0.00,-0.00,0.28,0.72,0.00,0.0059
0.59,0.00,0.27,0.14,0.00,0.1791
0.27,-0.00,-0.00,0.31,0.42,0.0037
0.59,0.00,0.27,0.13,0.00,0.1782
0.00,0.31,0.28,0.42,0.00,0.0979
0.46,0.26,0.00,-0.00,0.28,0.0430
0.59,0.00,0.27,0.14,0.00,0.1793
0.78,0.00,-0.00,0.00,0.22,0.0044
0.59,0.00,0.27,0.14,0.00,0.1794
0.11,0.63,0.26,-0.00,0.00,0.0697
-0.00,0.72,0.00,0.28,0.00,0.0833
0.58,0.00,0.28,0.14,0.00,0.1739
0.59,0.00,0.27,0.14,0.00,0.1785
0.29,0.22,0.35,0.14,0.00,0.1727
0.00,-0.00,0.00,0.78,0.22,0.0000
0.59,0.00,0.27,0.14,0.00,0.1752
0.59,0.00,0.27,0.14,0.00,0.1719
0.58,0.00,0.28,0.14,0.00,0.1762
0.78,0.00,-0.00,0.22,0.00,0.0881
0.59,0.00,0.27,0.14,0.00,0.1725
0.58,0.00,0.28,0.14,0.00,0.1714
0.29,0.16,0.41,0.15,0.00,0.1751
0.59,0.00,0.27,0.14,0.00,0.1747
0.59,0.00,0.27,0.14,0.00,0.1695
0.31,0.14,0.40,0.15,0.00,0.1762
0.41,0.00,0.42,0.18,0.00,0.1694
0.33,0.13,0.39,0.15,0.00,0.1841
0.32,0.13,0.40,0.15,0.00,0.1663
0.58,0.00,0.27,0.14,0.00,0.1758
0.58,0.00,0.27,0.14,0.00,0.1831
0.57,-0.00,0.29,0.14,0.00,0.1701
0.58,0.00,0.27,0.14,0.00,0.1781
0.58,0.00,0.27,0.14,0.00,0.1740
0.52,0.05,0.29,0.14,0.00,0.1818
0.52,0.05,0.29,0.14,0.00,0.1783
0.52,0.05,0.29,0.14,0.00,0.1790
0.51,0.06,0.30,0.13,0.00,0.1731
0.53,0.04,0.29,0.14,0.00,0.1767
0.52,0.05,0.29,0.14,0.00,0.1698
0.58,0.00,0.27,0.14,0.00,0.1801
