# Au,Cu,Pd,P_NO=1,H,NO_NH3,NO_CN,CO_NO_pairs,P_NO=0.1,H,NO_NH3,NO_CN,CO_NO_pairs
1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
0.9500000000000001,0.05,0.0,,0.0,0.0755,0.0041,0.0042,,0.0,0.0148,0.0021,0.0024
0.9500000000000001,0.0,0.05,,0.0068,0.0657,0.0048,0.005,,0.0067,0.0172,0.0021,0.0021
0.9,0.1,0.0,,0.0,0.1867,0.0125,0.0126,,0.0,0.0305,0.0093,0.0095
0.9,0.05,0.05,,0.0068,0.1604,0.0185,0.019,,0.0066,0.0341,0.0108,0.0123
0.9,0.0,0.1,,0.0278,0.1331,0.0165,0.0167,,0.0278,0.0491,0.0114,0.0118
0.8500000000000001,0.15000000000000002,0.0,,0.0,0.2946,0.0259,0.0269,,0.0,0.0443,0.0188,0.0215
0.8500000000000001,0.1,0.05,,0.0064,0.2368,0.0354,0.0376,,0.0089,0.047,0.0229,0.0265
0.8500000000000001,0.05,0.1,,0.029,0.1999,0.0304,0.0316,,0.0278,0.0665,0.0254,0.0279
0.8500000000000001,0.0,0.15000000000000002,,0.0609,0.1799,0.0282,0.0299,,0.0628,0.0831,0.022,0.0238
0.8,0.2,0.0,,0.0,0.3474,0.0341,0.0349,,0.0,0.0677,0.0417,0.0479
0.8,0.15000000000000002,0.05,,0.0101,0.294,0.0443,0.0457,,0.012,0.0561,0.0311,0.0369
0.8,0.1,0.1,,0.0311,0.2731,0.0495,0.053,,0.0314,0.0982,0.0506,0.0576
0.8,0.05,0.15000000000000002,,0.0561,0.2548,0.0452,0.0482,,0.0627,0.1103,0.039,0.0433
0.8,0.0,0.2,,0.1076,0.2263,0.0367,0.0387,,0.1057,0.1116,0.033,0.0364
0.75,0.25,0.0,,0.0,0.4364,0.04,0.0413,,0.0,0.0544,0.0447,0.0544
0.75,0.2,0.05,,0.0119,0.3919,0.0554,0.0578,,0.0121,0.0863,0.056,0.0647
0.75,0.15000000000000002,0.1,,0.0311,0.3485,0.0647,0.0678,,0.035,0.1004,0.0623,0.0741
0.75,0.1,0.15000000000000002,,0.0646,0.2976,0.0617,0.0659,,0.065,0.1032,0.0523,0.0604
0.75,0.05,0.2,,0.1028,0.2798,0.0533,0.0573,,0.1089,0.1155,0.0485,0.055
0.75,0.0,0.25,,0.1525,0.2751,0.0408,0.0421,,0.1574,0.1312,0.0412,0.0448
0.7000000000000001,0.30000000000000004,0.0,,0.0,0.5183,0.0447,0.0457,,0.0,0.096,0.0738,0.0892
0.7000000000000001,0.25,0.05,,0.0134,0.394,0.0694,0.0734,,0.0135,0.1214,0.0887,0.104
0.7000000000000001,0.2,0.1,,0.0353,0.3855,0.0739,0.0784,,0.0346,0.0983,0.0795,0.0954
0.7000000000000001,0.15000000000000002,0.15000000000000002,,0.0735,0.3706,0.0705,0.075,,0.0618,0.1154,0.0761,0.0875
0.7000000000000001,0.1,0.2,,0.1067,0.3272,0.0682,0.0743,,0.1162,0.1398,0.0696,0.0808
0.7000000000000001,0.05,0.25,,0.155,0.3112,0.0558,0.0593,,0.161,0.1689,0.0607,0.0687
0.7000000000000001,0.0,0.30000000000000004,,0.2186,0.3001,0.0441,0.0469,,0.2135,0.173,0.0478,0.0529
0.65,0.35000000000000003,0.0,,0.0,0.5679,0.0536,0.0553,,0.0,0.1181,0.1005,0.1213
0.65,0.30000000000000004,0.05,,0.0158,0.4893,0.08,0.0838,,0.0155,0.1287,0.1022,0.1258
0.65,0.25,0.1,,0.0429,0.4709,0.0766,0.0809,,0.0338,0.1053,0.0852,0.1032
0.65,0.2,0.15000000000000002,,0.0645,0.422,0.0817,0.0865,,0.0704,0.1309,0.0863,0.1024
0.65,0.15000000000000002,0.2,,0.1068,0.3913,0.076,0.0815,,0.1158,0.1567,0.0802,0.092
0.65,0.1,0.25,,0.1666,0.3583,0.0672,0.0721,,0.1665,0.1813,0.0813,0.0901
0.65,0.05,0.30000000000000004,,0.2167,0.3297,0.0546,0.0583,,0.2245,0.176,0.0624,0.0706
0.65,0.0,0.35000000000000003,,0.2949,0.3181,0.0369,0.0382,,0.284,0.1897,0.0455,0.0505
0.6000000000000001,0.4,0.0,,0.0,0.6441,0.0458,0.0469,,0.0,0.1025,0.1056,0.1337
0.6000000000000001,0.35000000000000003,0.05,,0.0157,0.5716,0.0726,0.0753,,0.0165,0.1019,0.1044,0.1314
0.6000000000000001,0.30000000000000004,0.1,,0.0379,0.5048,0.0823,0.086,,0.0415,0.1527,0.1238,0.1467
0.6000000000000001,0.25,0.15000000000000002,,0.0743,0.4655,0.0868,0.0912,,0.0777,0.1059,0.0901,0.1101
0.6000000000000001,0.2,0.2,,0.1168,0.4323,0.0828,0.0887,,0.1177,0.1802,0.1041,0.1198
0.6000000000000001,0.15000000000000002,0.25,,0.1664,0.3989,0.0769,0.0826,,0.1608,0.1593,0.0812,0.0947
0.6000000000000001,0.1,0.30000000000000004,,0.2226,0.3817,0.0635,0.0668,,0.2157,0.1999,0.0764,0.0846
0.6000000000000001,0.05,0.35000000000000003,,0.2846,0.3523,0.0462,0.0488,,0.2791,0.1994,0.063,0.0691
