# Ag,Au,Cu,Pd,Pt,CN selectivity
0.13,0.34,0.26,0.21,0.06,0.2006
0.07,0.02,0.36,0.25,0.30,0.0104
0.25,0.34,0.20,0.21,0.00,0.2681
0.46,0.51,-0.00,0.03,0.00,0.0634
0.28,0.28,0.10,0.34,0.00,0.1377
0.32,0.29,0.27,0.11,0.00,0.4083
0.41,0.21,0.39,-0.00,0.00,0.5317
0.61,-0.00,0.38,0.02,0.00,0.5093
0.40,0.00,0.57,0.03,0.00,0.5872
0.00,0.00,1.00,0.00,0.00,0.7318
-0.00,0.19,0.81,-0.00,0.00,0.7254
0.00,-0.00,0.78,0.22,0.00,0.4403
0.00,0.00,0.00,0.00,1.00,0.0000
-0.00,-0.00,0.83,0.00,0.17,0.0834
0.53,-0.00,-0.00,-0.00,0.47,0.0246
0.00,1.00,0.00,0.00,0.00,0.0000
0.00,0.00,0.00,1.00,0.00,0.0000
1.00,0.00,0.00,0.00,0.00,0.0000
0.00,0.46,0.54,-0.00,0.00,0.6939
-0.00,-0.00,-0.00,0.49,0.51,0.0000
-0.00,0.28,0.72,-0.00,0.00,0.7097
0.00,0.46,-0.00,0.00,0.54,0.0306
0.13,0.00,0.87,-0.00,0.00,0.6903
0.59,-0.00,0.00,0.41,0.00,0.0752
0.00,0.00,0.37,0.63,0.00,0.0142
-0.00,0.24,0.76,-0.00,0.00,0.7768
-0.00,0.24,0.76,-0.00,0.00,0.7334
0.00,0.00,1.00,0.00,0.00,0.7063
-0.00,0.18,0.82,-0.00,0.00,0.7305
0.11,0.24,0.64,-0.00,0.00,0.7126
0.00,0.31,0.69,-0.00,0.00,0.7288
0.00,0.16,0.84,-0.00,0.00,0.7186
0.00,0.31,0.69,-0.00,0.00,0.7110
0.00,0.16,0.84,-0.00,0.00,0.6984
-0.00,0.32,0.68,-0.00,0.00,0.7470
-0.00,0.32,0.68,-0.00,0.00,0.7173
0.34,0.00,0.41,0.25,0.00,0.2694
-0.00,-0.00,0.29,0.00,0.71,0.0018
