Ag,Au,Cu,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000
0.95,0.05,0.00,0.000000,0.000000
0.95,0.00,0.05,0.003800,0.041650
0.90,0.10,0.00,0.000000,0.000000
0.90,0.05,0.05,0.011900,0.050550
0.90,0.00,0.10,0.037300,0.062150
0.85,0.15,0.00,0.000000,0.000000
0.85,0.10,0.05,0.026550,0.066050
0.85,0.05,0.10,0.024750,0.090500
0.85,0.00,0.15,0.017050,0.110950
0.80,0.20,0.00,0.000000,0.000000
0.80,0.15,0.05,0.023250,0.057250
0.80,0.10,0.10,0.031400,0.070000
0.80,0.05,0.15,0.065950,0.106700
0.80,0.00,0.20,0.068350,0.112300
0.75,0.25,0.00,0.000000,0.000000
0.75,0.20,0.05,0.021650,0.059100
0.75,0.15,0.10,0.056950,0.078800
0.75,0.10,0.15,0.049700,0.100100
0.75,0.05,0.20,0.087100,0.113700
0.75,0.00,0.25,0.070100,0.132350
0.70,0.30,0.00,0.000000,0.000000
0.70,0.25,0.05,0.022150,0.073250
0.70,0.20,0.10,0.047350,0.097700
0.70,0.15,0.15,0.060850,0.111550
0.70,0.10,0.20,0.072000,0.125550
0.70,0.05,0.25,0.116500,0.136400
0.70,0.00,0.30,0.147950,0.138450
0.65,0.35,0.00,0.000000,0.000000
0.65,0.30,0.05,0.036450,0.067800
0.65,0.25,0.10,0.061450,0.092450
0.65,0.20,0.15,0.050450,0.101100
0.65,0.15,0.20,0.072300,0.121550
0.65,0.10,0.25,0.108150,0.135150
0.65,0.05,0.30,0.155000,0.146800
0.65,0.00,0.35,0.129750,0.144250
0.60,0.40,0.00,0.000000,0.000000
0.60,0.35,0.05,0.052500,0.074950
0.60,0.30,0.10,0.051750,0.092350
0.60,0.25,0.15,0.062750,0.108450
0.60,0.20,0.20,0.086750,0.119450
0.60,0.15,0.25,0.110650,0.132050
0.60,0.10,0.30,0.135050,0.142650
0.60,0.05,0.35,0.165350,0.150200
0.60,0.00,0.40,0.145650,0.153050
0.55,0.45,0.00,0.000000,0.000000
