Au,Cu,Pd,active sites (P_NO=1),active sites (P_NO=0.5)
1.00,0.00,0.00,0.000000,0.000000
0.95,0.05,0.00,0.057750,0.094000
0.95,0.00,0.05,0.119250,0.083300
0.90,0.10,0.00,0.093900,0.110400
0.90,0.05,0.05,0.095050,0.091950
0.90,0.00,0.10,0.093900,0.069600
0.85,0.15,0.00,0.118100,0.118250
0.85,0.10,0.05,0.091150,0.096750
0.85,0.05,0.10,0.094050,0.085900
0.85,0.00,0.15,0.076400,0.051700
0.80,0.20,0.00,0.127900,0.121650
0.80,0.15,0.05,0.118300,0.105500
0.80,0.10,0.10,0.088800,0.088050
0.80,0.05,0.15,0.085800,0.068000
0.80,0.00,0.20,0.065800,0.048250
0.75,0.25,0.00,0.139550,0.139350
0.75,0.20,0.05,0.085850,0.104350
0.75,0.15,0.10,0.089700,0.101150
0.75,0.10,0.15,0.092950,0.072700
0.75,0.05,0.20,0.065850,0.053250
0.75,0.00,0.25,0.052000,0.042700
0.70,0.30,0.00,0.157050,0.149000
0.70,0.25,0.05,0.082200,0.114000
0.70,0.20,0.10,0.071500,0.099650
0.70,0.15,0.15,0.078950,0.080750
0.70,0.10,0.20,0.063150,0.062750
0.70,0.05,0.25,0.053800,0.048100
0.70,0.00,0.30,0.039750,0.031450
0.65,0.35,0.00,0.170850,0.154100
0.65,0.30,0.05,0.070300,0.127850
0.65,0.25,0.10,0.077350,0.097000
0.65,0.20,0.15,0.053900,0.086600
0.65,0.15,0.20,0.057350,0.060600
0.65,0.10,0.25,0.056950,0.044900
0.65,0.05,0.30,0.043350,0.039800
0.65,0.00,0.35,0.030400,0.025850
0.60,0.40,0.00,0.163250,0.167250
0.60,0.35,0.05,0.073050,0.119700
0.60,0.30,0.10,0.064850,0.103700
0.60,0.25,0.15,0.053300,0.090250
0.60,0.20,0.20,0.053100,0.066050
0.60,0.15,0.25,0.041050,0.062300
0.60,0.10,0.30,0.040150,0.041050
0.60,0.05,0.35,0.029550,0.036800
0.60,0.00,0.40,0.029900,0.019850
0.55,0.45,0.00,0.176250,0.176700
0.55,0.40,0.05,0.047100,0.115400
0.55,0.35,0.10,0.046300,0.104400
0.55,0.30,0.15,0.046500,0.078250
0.55,0.25,0.20,0.034350,0.063900
0.55,0.20,0.25,0.027800,0.058500
0.55,0.15,0.30,0.033800,0.035400
0.55,0.10,0.35,0.029800,0.032150
0.55,0.05,0.40,0.022000,0.026200
0.55,0.00,0.45,0.016700,0.016700
0.50,0.50,0.00,0.177250,0.183250
0.50,0.45,0.05,0.031950,0.110250
0.50,0.40,0.10,0.024550,0.108400
0.50,0.35,0.15,0.030950,0.096750
0.50,0.30,0.20,0.029000,0.055950
0.50,0.25,0.25,0.028750,0.053250
0.50,0.20,0.30,0.017500,0.029950
0.50,0.15,0.35,0.017200,0.033700
0.50,0.10,0.40,0.017300,0.019900
0.50,0.05,0.45,0.014050,0.015650
0.50,0.00,0.50,0.012750,0.009850
0.45,0.55,0.00,0.168550,0.199700
0.45,0.50,0.05,0.018350,0.125050
0.45,0.45,0.10,0.020600,0.103500
0.45,0.40,0.15,0.020450,0.092750
0.45,0.35,0.20,0.016300,0.071900
0.45,0.30,0.25,0.016350,0.043800
0.45,0.25,0.30,0.019550,0.037200
0.45,0.20,0.35,0.013100,0.021950
0.45,0.15,0.40,0.006000,0.016600
0.45,0.10,0.45,0.009200,0.019700
0.45,0.05,0.50,0.012500,0.012900
0.45,0.00,0.55,0.005400,0.008400
0.40,0.60,0.00,0.154900,0.204250
0.40,0.55,0.05,0.013500,0.155300
0.40,0.50,0.10,0.015650,0.077750
0.40,0.45,0.15,0.015550,0.074550
0.40,0.40,0.20,0.016000,0.046950
0.40,0.35,0.25,0.012600,0.034950
0.40,0.30,0.30,0.007400,0.018800
0.40,0.25,0.35,0.008450,0.018950
0.40,0.20,0.40,0.011600,0.025850
0.40,0.15,0.45,0.009850,0.017050
0.40,0.10,0.50,0.005750,0.010400
